Variable,Table,Group,SubGroup,Series,CoVaTrA,Cohort,Definition,Extended Source Defn,Units,CURRENCY,Years,Source,Original Source,Notes,Last IFs Update,Aggregation,Disaggregation,TreatNullsAs0s,Proprietary,Name in Source,UsedInPreprocessor,UsedInPreprocessorFileName,CompareOtherForecast,Code in Source,Decimal Places,Country Concordance,Formula,DisplayNotes
WSSJMPSanitationTotal%AtLeastBasic,SeriesWSSJMPSanitationTotal%AtLeastBasic,"Infrastructure, Water, Health",Sanitation,Yes,No,No,Proportion of Total population served with at least basic facilities (%),,Percent,,2000-2022,JMP WHO/UNICEF,https://washdata.org/data/household#!/,KS,2024/09/05,POP,GDP,0,0,,0,,0,san_bas_n,4,WSS JMP,,
WSSJMPSanitationRural%AtLeastBasic,SeriesWSSJMPSanitationRural%AtLeastBasic,"Infrastructure, Water, Health",Sanitation,Yes,No,No,Proportion of Rural population served with at least basic facilities (%),,Percent,,2000-2022,JMP WHO/UNICEF,https://washdata.org/data/household#!/,KS,2024/09/05,POP,GDP,0,0,,0,,0,san_bas_r,4,WSS JMP,,
WSSJMPSanitationUrban%AtLeastBasic,SeriesWSSJMPSanitationUrban%AtLeastBasic,"Infrastructure, Water, Health",Sanitation,Yes,No,No,Proportion of Urban population served with at least basic facilities (%),,Percent,,2000-2022,JMP WHO/UNICEF,https://washdata.org/data/household#!/,KS,2024/09/05,POP,GDP,0,0,,0,,0,san_bas_u,4,WSS JMP,,
WSSJMPSanitationTotal%Limited,SeriesWSSJMPSanitationTotal%Limited,"Infrastructure, Water, Health",Sanitation,Yes,No,No,Proportion of Total population served with limited facilities (%),Sanitation facilities of an otherwise acceptable type shared between two or more households. Only facilities that are not shared or not public are considered improved,Percent,,2000-2022,JMP WHO/UNICEF,https://washdata.org/data/household#!/,KS,2024/09/05,POP,GDP,0,0,,0,,0,san_lim_n,4,WSS JMP,,
WSSJMPSanitationTotal%Shared,SeriesWSSJMPSanitationTotal%Shared,"Infrastructure, Water, Health",Sanitation,Yes,No,No,Proportion of Total population served with Shared Sanitation (%),Sanitation facilities of an otherwise acceptable type shared between two or more households. Only facilities that are not shared or not public are considered improved,Percent,,2000-2022,JMP WHO/UNICEF,https://washdata.org/data/household#!/,KS,2024/09/05,POP,GDP,0,0,,1,INFRASTRUCTURE,0,san_lim_n,4,WSS JMP,,
WSSJMPSanitationTotalPopShared,SeriesWSSJMPSanitationTotalPopShared,"Infrastructure, Water, Health",Sanitation,Yes,No,No,Total population served with Shared Sanitation,Sanitation facilities of an otherwise acceptable type shared between two or more households. Only facilities that are not shared or not public are considered improved,Thousand,,2000-2022,JMP WHO/UNICEF,https://washdata.org/data/household#!/,KS,2024/09/05,SUM,GDP,0,0,,0,,0,san_lim_n_pop,3,WSS JMP,/1000,
WSSJMPSanitationRural%Limited,SeriesWSSJMPSanitationRural%Limited,"Infrastructure, Water, Health",Sanitation,Yes,No,No,Proportion of Rural population served with limited facilities (%),Sanitation facilities of an otherwise acceptable type shared between two or more households. Only facilities that are not shared or not public are considered improved,Percent,,2000-2022,JMP WHO/UNICEF,https://washdata.org/data/household#!/,KS,2024/09/05,POP,GDP,0,0,,0,,0,san_lim_r,4,WSS JMP,,
WSSJMPSanitationRural%Shared,SeriesWSSJMPSanitationRural%Shared,"Infrastructure, Water, Health",Sanitation,Yes,No,No,Proportion of Rural population served with Shared Sanitation (%),Sanitation facilities of an otherwise acceptable type shared between two or more households. Only facilities that are not shared or not public are considered improved,Percent,,2000-2022,JMP WHO/UNICEF,https://washdata.org/data/household#!/,KS,2024/09/05,POP,GDP,0,0,,0,,0,san_lim_r,4,WSS JMP,,
WSSJMPSanitationRuralPopShared,SeriesWSSJMPSanitationRuralPopShared,"Infrastructure, Water, Health",Sanitation,Yes,No,No,Rural population served with Shared Sanitation,Sanitation facilities of an otherwise acceptable type shared between two or more households. Only facilities that are not shared or not public are considered improved,Thousand,,2000-2022,JMP WHO/UNICEF,https://washdata.org/data/household#!/,KS,2024/09/05,SUM,GDP,0,0,,0,,0,san_lim_r_pop,3,WSS JMP,/1000,
WSSJMPSanitationUrban%Limited,SeriesWSSJMPSanitationUrban%Limited,"Infrastructure, Water, Health",Sanitation,Yes,No,No,Proportion of Urban population served with limited facilities (%),Sanitation facilities of an otherwise acceptable type shared between two or more households. Only facilities that are not shared or not public are considered improved,Percent,,2000-2022,JMP WHO/UNICEF,https://washdata.org/data/household#!/,KS,2024/09/05,POP,GDP,0,0,,0,,0,san_lim_u,4,WSS JMP,,
WSSJMPSanitationUrban%Shared,SeriesWSSJMPSanitationUrban%Shared,"Infrastructure, Water, Health",Sanitation,Yes,No,No,Proportion of Urban population served with Shared Sanitation (%),Sanitation facilities of an otherwise acceptable type shared between two or more households. Only facilities that are not shared or not public are considered improved,Percent,,2000-2022,JMP WHO/UNICEF,https://washdata.org/data/household#!/,KS,2024/09/05,POP,GDP,0,0,,0,,0,san_lim_u,4,WSS JMP,,
